model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,228390.61,2025-03-23,2025-06-10,New York,418.1,0,93.3,4.2,5,159.7,425
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,53499.5,2023-04-04,2023-04-21,Massachusetts,286.4,0,78.3,3.5,5,156.3,485
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,66229.67,2024-08-22,2024-09-24,Massachusetts,273.7,0,96.5,8.5,7,145.6,558
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,39777.57,2023-07-16,2023-08-22,Arizona,297.3,0,91.0,8.9,5,157.9,604
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,108073.02,2025-01-11,2025-02-02,Arizona,388.4,0,79.5,11.8,5,148.2,537
Tesla Roadster,Long Range,Stealth Grey,Electric,Automatic,245163.87,2023-05-21,2023-08-07,Massachusetts,457.7,0,66.4,10.0,5,161.8,460
Tesla Model 3,Long Range,Solid Black,Electric,Automatic,47793.82,2023-05-04,2023-06-08,Arizona,311.7,0,89.0,10.1,5,169.6,538
Tesla Model S,Performance,Pearl White,Electric,Automatic,107883.9,2025-03-15,2025-04-10,Florida,349.8,0,72.5,5.8,5,161.0,582
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,60421.1,2023-08-12,2023-08-27,Arizona,286.6,0,83.2,5.7,5,158.8,603
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,95933.52,2024-11-29,2025-02-02,Florida,358.4,0,93.1,3.7,5,145.2,630
Tesla Model X,Long Range,Solid Black,Electric,Automatic,136792.77,2024-09-22,2024-12-16,New York,329.5,0,61.3,0.5,7,167.8,507
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,51974.53,2023-07-11,2023-08-12,Texas,286.7,0,98.6,6.1,5,164.7,485
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,202016.87,2023-09-10,2023-11-15,Maryland,603.6,0,82.3,8.2,5,141.8,622
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,49626.18,2023-07-27,2023-08-03,Maryland,301.5,0,72.3,9.5,7,167.6,595
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,87707.61,2023-12-22,2024-01-02,California,378.0,0,72.0,9.0,5,166.2,530
Tesla Model 3,Standard Range,Pearl White,Electric,Automatic,47542.09,2025-03-27,2025-06-11,Arizona,322.4,0,82.5,5.5,5,141.2,495
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,95101.98,2024-09-02,2024-09-09,Texas,364.6,0,61.4,9.6,5,148.4,582
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,114614.53,2023-12-08,2024-03-04,New Jersey,336.5,0,76.5,10.6,5,145.9,512
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,226483.06,2024-03-04,2024-03-28,Connecticut,426.6,0,88.3,10.2,5,152.7,595
Tesla Model S,Long Range,Solid Black,Electric,Automatic,80428.61,2024-03-19,2024-03-28,Florida,335.8,0,82.1,1.3,5,156.8,635
Tesla Model Y,Performance,Solid Black,Electric,Automatic,44645.75,2023-05-11,2023-07-15,Illinois,287.0,0,96.5,5.5,7,160.8,675
Tesla Cybertruck,Plaid,Stealth Grey,Electric,Automatic,73537.76,2025-02-24,2025-04-30,Connecticut,345.4,0,89.6,7.1,5,149.8,459
Tesla Model 3,Long Range,Solid Black,Electric,Automatic,43632.59,2024-11-15,2024-12-22,Washington,275.8,0,91.0,1.6,5,147.8,632
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,94870.22,2023-11-02,2023-11-14,Virginia,329.5,0,67.9,9.4,5,161.1,540
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,60042.94,2023-08-20,2023-10-09,Connecticut,277.7,0,70.2,1.9,5,162.9,458
Tesla Cybertruck,Long Range,Solid Black,Electric,Automatic,74597.41,2024-09-12,2024-10-30,Connecticut,317.5,0,61.0,4.3,5,162.4,493
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,81575.39,2023-11-11,2023-12-03,California,327.1,0,62.3,8.3,7,167.1,435
Tesla Model S,Plaid,Pearl White,Electric,Automatic,75497.02,2025-03-27,2025-06-15,Oregon,382.9,0,91.5,9.9,5,164.6,550
Tesla Model Y,Standard Range,Midnight Silver Metallic,Electric,Automatic,57475.92,2023-07-27,2023-09-29,Nevada,293.4,0,93.0,1.3,7,168.9,715
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,89867.85,2023-06-11,2023-07-15,Washington,381.1,0,97.8,7.3,5,149.0,592
Tesla Roadster,Long Range,Red Multi-Coat,Electric,Automatic,209634.95,2024-04-29,2024-07-17,Virginia,409.6,0,87.8,5.0,5,168.8,553
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,58641.32,2024-02-25,2024-04-27,Arizona,353.9,0,81.3,7.1,5,143.2,499
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,234925.18,2024-12-10,2025-02-28,Florida,553.4,0,88.7,9.2,5,155.0,471
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,53184.97,2023-12-27,2024-03-23,California,263.8,0,83.6,9.7,5,150.3,544
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,45103.76,2024-01-15,2024-02-20,Colorado,275.7,0,83.4,5.1,5,163.3,437
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,64211.93,2023-08-10,2023-08-30,Virginia,322.9,0,84.7,6.4,5,149.1,435
Tesla Model Y,Performance,Solid Black,Electric,Automatic,44333.19,2023-04-28,2023-07-07,Oregon,323.7,0,99.3,8.1,7,154.7,460
Tesla Model 3,Plaid,Stealth Grey,Electric,Automatic,45308.5,2024-10-23,2025-01-03,New Jersey,307.7,0,63.6,5.5,5,149.0,617
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,54693.03,2024-11-08,2024-12-04,New York,329.2,0,69.8,5.8,7,162.1,654
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,67599.96,2024-05-18,2024-06-02,Colorado,264.9,0,96.3,7.9,7,151.5,862
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,84228.11,2024-03-21,2024-03-31,New Jersey,316.3,0,85.5,4.9,7,153.9,773
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,95509.97,2023-12-05,2024-02-06,Florida,336.7,0,97.4,5.4,7,166.5,795
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,77993.12,2024-09-27,2024-11-25,Colorado,351.5,0,99.6,8.9,5,142.2,493
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,65120.37,2024-09-04,2024-10-19,Virginia,402.7,0,98.0,9.6,5,148.4,489
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,52307.68,2024-11-28,2024-12-07,New Jersey,391.3,0,72.7,4.0,5,143.1,488
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,54629.31,2024-04-25,2024-05-08,Oregon,398.5,0,83.9,11.9,5,161.2,513
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,72062.5,2023-06-04,2023-08-22,Nevada,421.5,0,67.3,2.8,5,167.3,487
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,217702.63,2023-05-03,2023-06-26,Virginia,507.2,0,93.2,8.7,5,163.0,479
Tesla Model 3,Plaid,Midnight Silver Metallic,Electric,Automatic,50097.91,2024-12-15,2025-01-09,Arizona,312.0,0,75.1,1.7,5,163.5,427
Tesla Model Y,Performance,Solid Black,Electric,Automatic,50561.18,2024-01-21,2024-02-22,Maryland,320.8,0,65.0,6.2,7,156.3,555
Tesla Cybertruck,Plaid,Deep Blue Metallic,Electric,Automatic,62141.35,2024-12-22,2025-03-12,Arizona,359.5,0,88.7,3.4,5,151.1,649
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,127772.67,2023-09-30,2023-10-03,New York,315.4,0,62.7,6.2,7,148.6,494
Tesla Model Y,Plaid,Stealth Grey,Electric,Automatic,54640.62,2024-11-23,2025-02-20,Washington,260.5,0,74.3,6.5,7,150.7,451
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,45497.03,2024-09-30,2024-11-03,Florida,295.0,0,81.0,9.0,5,154.0,535
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,94158.96,2023-04-19,2023-06-28,Illinois,327.8,0,66.4,5.2,7,143.3,569
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,64309.61,2025-02-09,2025-03-08,New Jersey,489.0,0,78.6,4.0,5,161.5,576
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,130563.36,2023-09-16,2023-11-02,Nevada,333.8,0,85.3,11.3,7,154.2,529
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,51847.11,2024-03-08,2024-03-29,Washington,424.5,0,78.9,4.8,5,165.9,564
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,44203.07,2024-07-22,2024-10-03,Nevada,276.1,0,74.7,4.6,7,152.5,831
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,90038.65,2024-12-15,2025-01-25,Illinois,318.9,0,62.2,7.6,7,144.4,591
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,67107.12,2023-07-09,2023-07-22,Arizona,311.1,0,76.1,0.8,5,160.8,610
Tesla Model X,Plaid,Pearl White,Electric,Automatic,135382.24,2023-08-10,2023-10-13,Maryland,315.1,0,62.8,2.3,7,160.4,804
Tesla Model 3,Long Range,Midnight Silver Metallic,Electric,Automatic,50837.08,2023-07-15,2023-08-23,Texas,310.9,0,72.1,6.2,5,158.8,570
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,51447.67,2025-03-05,2025-04-16,Oregon,268.5,0,77.2,7.0,5,169.7,588
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,48432.45,2023-06-11,2023-08-24,Massachusetts,261.1,0,91.3,2.2,7,155.0,593
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,93206.1,2024-08-12,2024-10-05,New Jersey,323.5,0,80.3,11.9,7,168.1,593
Tesla Model 3,Standard Range,Deep Blue Metallic,Electric,Automatic,42971.0,2024-10-18,2024-11-30,Virginia,280.7,0,97.0,11.1,5,163.0,628
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,66035.6,2024-02-21,2024-05-20,New York,284.8,0,76.6,8.0,7,166.5,868
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,89349.44,2023-05-16,2023-07-31,Illinois,332.5,0,67.7,11.3,5,152.4,580
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,78552.28,2023-11-19,2024-01-16,Oregon,349.3,0,76.9,1.7,5,164.2,466
Tesla Roadster,Long Range,Red Multi-Coat,Electric,Automatic,214352.03,2025-03-06,2025-04-26,Florida,460.6,0,95.3,5.8,5,168.9,542
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,52802.16,2023-09-18,2023-11-06,Florida,298.1,0,70.0,10.2,7,159.4,630
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,69744.45,2024-04-24,2024-04-27,Illinois,313.0,0,79.3,8.9,7,150.4,547
Tesla Cybertruck,Plaid,Deep Blue Metallic,Electric,Automatic,75766.51,2024-06-06,2024-07-15,Texas,449.5,0,95.7,3.5,5,168.3,552
Tesla Roadster,Long Range,Pearl White,Electric,Automatic,208448.32,2025-02-03,2025-03-09,Oregon,458.7,0,100.0,8.6,5,149.6,499
Tesla Roadster,Performance,Ultra Red,Electric,Automatic,213407.26,2023-11-21,2023-12-02,New York,513.0,0,82.8,4.4,5,149.9,644
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,46722.37,2024-06-12,2024-08-02,Virginia,291.9,0,77.3,4.0,5,157.1,469
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,78791.7,2024-09-27,2024-11-06,Florida,308.2,0,90.8,5.9,5,144.9,544
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,202588.79,2024-12-31,2025-01-16,Maryland,437.5,0,91.4,9.4,5,141.2,539
Tesla Model X,Performance,Pearl White,Electric,Automatic,83578.07,2024-11-16,2025-02-13,Texas,321.8,0,80.8,11.2,7,141.7,503
Tesla Roadster,Plaid,Deep Blue Metallic,Electric,Automatic,227936.79,2024-08-10,2024-10-29,Texas,419.8,0,80.2,7.2,5,149.6,476
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,49372.57,2024-05-05,2024-06-23,Florida,294.6,0,70.7,2.8,5,165.2,515
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,84840.07,2023-11-03,2023-12-01,Maryland,329.5,0,70.4,2.5,7,158.5,515
Tesla Model X,Plaid,Solid Black,Electric,Automatic,121029.05,2025-02-25,2025-04-30,Connecticut,322.4,0,78.1,9.1,7,166.6,752
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,103273.09,2024-12-26,2025-01-07,Massachusetts,325.4,0,93.5,9.7,7,150.6,846
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,230817.93,2024-07-22,2024-10-05,Connecticut,512.7,0,67.1,2.9,5,158.0,588
Tesla Model X,Performance,Ultra Red,Electric,Automatic,118616.54,2024-07-27,2024-08-02,New Jersey,332.9,0,82.4,9.7,7,151.5,825
Tesla Model Y,Performance,Midnight Silver Metallic,Electric,Automatic,45571.38,2025-02-21,2025-05-07,Illinois,317.2,0,96.1,5.7,7,152.1,664
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,60430.99,2024-08-18,2024-08-30,California,279.4,0,93.2,1.2,7,140.7,555
Tesla Model S,Performance,Pearl White,Electric,Automatic,113889.35,2024-01-16,2024-03-23,Washington,373.5,0,61.0,1.8,5,154.5,562
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,51959.86,2023-12-21,2023-12-22,Texas,271.0,0,81.8,5.4,7,148.3,661
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,50367.2,2023-12-26,2024-02-11,Nevada,301.2,0,85.1,1.1,5,160.0,519
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,39516.16,2023-12-25,2024-01-10,Connecticut,283.2,0,80.4,8.6,5,169.4,428
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,41315.02,2024-10-30,2025-01-23,Connecticut,321.9,0,99.1,0.5,5,159.9,487
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,74823.74,2023-10-15,2023-11-08,California,299.0,0,67.8,9.9,5,142.2,507
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,50142.31,2023-11-20,2024-01-29,California,486.6,0,74.3,11.3,5,161.0,584
Tesla Model S,Plaid,Solid Black,Electric,Automatic,85074.97,2024-12-03,2025-01-25,New Jersey,367.7,0,74.2,5.8,5,163.5,582
Tesla Model Y,Standard Range,Deep Blue Metallic,Electric,Automatic,59914.94,2024-10-22,2025-01-14,Oregon,303.4,0,68.7,6.6,7,154.0,822
Tesla Cybertruck,Standard Range,Pearl White,Electric,Automatic,79438.43,2023-04-14,2023-06-01,Washington,293.7,0,86.6,10.5,5,153.5,473
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,62327.26,2023-11-05,2023-12-18,New Jersey,286.0,0,95.7,6.0,7,149.5,515
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,55081.04,2024-04-29,2024-06-20,Connecticut,324.2,0,64.2,3.9,5,140.7,511
Tesla Roadster,Performance,Midnight Silver Metallic,Electric,Automatic,244316.13,2024-08-06,2024-09-30,Florida,555.5,0,74.2,2.0,5,169.6,538
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,116671.29,2025-03-25,2025-06-14,Connecticut,327.1,0,64.7,5.0,5,140.6,611
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,134463.01,2024-06-08,2024-08-15,Nevada,341.9,0,83.9,5.2,7,162.2,472
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,79482.38,2024-12-05,2025-02-28,New Jersey,381.4,0,65.2,3.0,5,140.9,591
Tesla Model 3,Performance,Solid Black,Electric,Automatic,47642.43,2023-04-22,2023-06-14,Illinois,306.0,0,89.5,11.6,5,162.5,502
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,85903.56,2024-02-24,2024-05-07,California,320.3,0,88.9,11.6,5,152.6,480
Tesla Model S,Standard Range,Pearl White,Electric,Automatic,129131.11,2023-12-27,2024-02-19,Connecticut,323.8,0,75.6,2.6,5,143.0,605
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,47837.37,2024-04-01,2024-05-08,Illinois,267.0,0,93.4,7.5,7,141.0,862
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,76432.56,2024-11-18,2025-01-11,Washington,342.4,0,91.7,3.5,5,158.7,456
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,219365.16,2024-03-02,2024-05-31,Connecticut,403.9,0,66.8,4.3,5,169.0,563
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,62403.03,2024-06-19,2024-08-06,New Jersey,287.7,0,81.4,3.3,7,163.3,454
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,57735.45,2024-01-31,2024-03-01,Nevada,431.6,0,66.5,8.8,5,167.6,606
Tesla Model 3,Long Range,Solid Black,Electric,Automatic,51468.71,2025-02-05,2025-02-12,New Jersey,316.2,0,75.0,3.2,5,143.3,599
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,54827.65,2024-06-25,2024-08-18,Florida,357.5,0,63.4,7.6,5,150.1,571
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,128279.06,2023-09-19,2023-09-28,Washington,317.4,0,90.4,2.6,7,143.6,466
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,91743.94,2024-01-01,2024-03-16,Maryland,316.4,0,62.2,6.2,7,165.4,711
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,233282.37,2023-09-13,2023-11-21,Texas,523.3,0,74.1,2.8,5,157.4,580
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,45728.92,2023-06-27,2023-08-27,Washington,303.4,0,99.0,6.8,7,153.3,459
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,66288.64,2024-09-20,2024-10-20,Nevada,333.1,0,83.6,8.7,5,152.9,562
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,55749.12,2023-12-01,2024-01-08,Maryland,392.8,0,86.0,10.9,5,148.4,548
Tesla Model 3,Plaid,Pearl White,Electric,Automatic,51715.62,2025-03-10,2025-05-30,Nevada,309.9,0,91.2,9.9,5,149.2,643
Tesla Model S,Long Range,Pearl White,Electric,Automatic,115630.44,2023-12-12,2024-01-26,Texas,369.5,0,88.5,2.9,5,142.3,468
Tesla Model X,Performance,Solid Black,Electric,Automatic,105333.77,2023-07-21,2023-09-23,Colorado,331.9,0,86.2,0.6,7,143.1,506
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,126796.73,2024-10-11,2024-10-12,Virginia,327.3,0,88.4,7.4,7,160.9,501
Tesla Model 3,Performance,Deep Blue Metallic,Electric,Automatic,52348.59,2024-11-30,2025-02-05,Arizona,321.0,0,89.8,4.6,5,148.5,535
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,82638.29,2023-11-03,2023-11-25,Arizona,320.4,0,86.6,3.5,5,143.8,542
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,45337.44,2024-10-08,2024-12-08,New Jersey,326.9,0,61.1,4.9,5,167.0,447
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,50237.77,2023-12-30,2024-02-20,Florida,300.5,0,63.0,2.4,5,143.5,559
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,121030.22,2023-07-03,2023-09-30,New Jersey,328.9,0,70.9,4.7,7,149.2,528
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,78842.39,2024-06-05,2024-07-26,Nevada,378.5,0,79.3,3.0,5,146.6,604
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,73485.29,2024-12-16,2025-01-21,Florida,268.9,0,74.6,3.6,5,169.7,631
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,66170.92,2024-05-12,2024-07-19,Florida,448.4,0,98.1,3.2,5,151.9,493
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,52493.68,2024-05-05,2024-06-25,New Jersey,299.5,0,80.9,7.0,7,148.2,584
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,49849.29,2024-02-18,2024-05-17,New Jersey,325.9,0,74.6,9.0,5,144.2,558
Tesla Model 3,Long Range,Midnight Silver Metallic,Electric,Automatic,52915.81,2024-08-03,2024-10-31,Washington,302.5,0,79.1,3.1,5,159.5,541
Tesla Model X,Standard Range,Pearl White,Electric,Automatic,127630.01,2024-07-29,2024-08-03,Massachusetts,319.9,0,73.4,10.0,7,143.2,692
Tesla Roadster,Performance,Pearl White,Electric,Automatic,242216.4,2023-04-03,2023-04-10,Nevada,546.1,0,76.4,7.0,5,152.4,510
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,47503.06,2023-11-03,2023-12-09,Texas,311.4,0,93.5,8.5,5,166.6,549
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,201123.2,2025-02-10,2025-03-02,Virginia,419.9,0,84.4,6.8,5,166.2,541
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,202792.82,2023-07-26,2023-08-01,Nevada,611.3,0,79.4,10.3,5,148.7,598
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,39750.33,2024-03-13,2024-03-21,Illinois,331.9,0,83.8,4.5,5,147.4,611
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,45949.79,2024-11-22,2024-11-26,California,274.8,0,60.2,9.7,7,141.6,632
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,51915.51,2024-03-17,2024-04-17,Colorado,310.4,0,83.1,2.0,7,151.4,819
Tesla Model X,Plaid,Pearl White,Electric,Automatic,128131.29,2024-09-11,2024-10-19,New York,312.1,0,60.4,4.5,7,156.5,869
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,114951.91,2024-04-20,2024-07-07,Washington,325.4,0,70.7,2.3,5,164.6,575
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,101278.14,2025-01-30,2025-04-04,Virginia,330.2,0,75.8,7.2,7,143.2,745
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,137650.43,2023-09-03,2023-11-23,Washington,346.0,0,68.9,10.6,7,150.5,829
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,55973.16,2024-08-31,2024-11-24,Texas,324.6,0,78.3,0.7,7,167.9,826
Tesla Model X,Plaid,Red Multi-Coat,Electric,Automatic,122522.01,2023-06-26,2023-06-29,Connecticut,306.0,0,93.3,8.1,7,148.2,600
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,57273.07,2024-05-19,2024-07-24,California,317.3,0,97.3,0.6,7,160.3,475
Tesla Model S,Performance,Red Multi-Coat,Electric,Automatic,78610.86,2025-01-06,2025-02-01,Colorado,397.4,0,95.4,2.9,5,155.2,518
Tesla Model X,Performance,Ultra Red,Electric,Automatic,101393.39,2024-11-11,2025-01-04,Florida,309.2,0,68.7,7.7,7,152.4,495
Tesla Roadster,Performance,Solid Black,Electric,Automatic,241795.4,2023-08-23,2023-11-14,New York,602.5,0,78.2,3.4,5,156.1,627
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,39712.5,2023-08-30,2023-11-05,Florida,296.1,0,63.3,2.5,5,141.9,436
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,244615.34,2024-01-03,2024-02-19,Massachusetts,610.5,0,72.0,4.7,5,148.4,466
Tesla Model X,Long Range,Solid Black,Electric,Automatic,99078.84,2023-04-25,2023-06-15,New Jersey,320.4,0,85.4,5.0,7,155.5,644
Tesla Model S,Long Range,Midnight Silver Metallic,Electric,Automatic,107869.45,2024-12-16,2025-01-07,New York,371.1,0,82.6,1.6,5,146.9,427
Tesla Cybertruck,Long Range,Pearl White,Electric,Automatic,63500.28,2025-02-14,2025-04-19,Connecticut,261.3,0,99.5,0.9,5,152.3,546
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,52359.15,2023-06-05,2023-08-31,Virginia,437.4,0,87.3,8.4,5,149.1,561
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,104512.35,2025-02-25,2025-03-17,Maryland,323.4,0,74.4,9.2,7,149.4,512
Tesla Cybertruck,Standard Range,Ultra Red,Electric,Automatic,62305.16,2025-03-18,2025-04-23,Massachusetts,379.1,0,92.9,8.6,5,146.5,607
Tesla Model Y,Plaid,Pearl White,Electric,Automatic,47216.18,2023-07-31,2023-09-06,Arizona,278.3,0,75.4,8.0,7,163.9,784
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,99616.3,2024-02-12,2024-03-13,Oregon,366.3,0,75.3,4.3,5,155.9,540
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,61085.92,2023-07-22,2023-08-30,Maryland,319.7,0,92.4,4.5,7,161.2,813
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,45271.16,2023-06-15,2023-09-03,Illinois,292.0,0,71.4,11.0,5,149.6,557
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,94851.23,2024-07-13,2024-09-15,Connecticut,349.7,0,74.1,5.1,5,157.1,463
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,42727.56,2024-02-17,2024-03-06,New York,267.3,0,68.4,9.6,5,143.3,574
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,93190.42,2023-11-02,2023-11-16,Florida,340.0,0,98.7,1.6,7,150.3,439
Tesla Model Y,Plaid,Red Multi-Coat,Electric,Automatic,54963.16,2024-08-11,2024-09-29,California,262.9,0,63.7,8.6,7,155.9,873
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,107205.7,2025-03-05,2025-04-11,New Jersey,399.8,0,69.5,3.1,5,157.6,455
Tesla Model Y,Plaid,Stealth Grey,Electric,Automatic,66098.93,2024-01-01,2024-01-29,Arizona,319.9,0,65.7,3.0,7,145.4,787
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,121173.0,2024-12-15,2024-12-26,Texas,334.9,0,94.8,11.8,7,158.5,890
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,50253.26,2023-09-21,2023-10-15,Arizona,311.2,0,75.0,9.3,7,167.7,744
Tesla Model S,Standard Range,Midnight Silver Metallic,Electric,Automatic,114495.46,2023-07-07,2023-08-11,Connecticut,357.0,0,91.8,4.2,5,169.8,608
Tesla Model S,Plaid,Solid Black,Electric,Automatic,82812.71,2024-06-26,2024-06-30,Nevada,347.3,0,87.4,8.4,5,149.1,429
Tesla Cybertruck,Plaid,Stealth Grey,Electric,Automatic,70408.41,2024-11-01,2025-01-17,California,277.3,0,92.4,3.6,5,152.9,598
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,58209.25,2024-11-26,2025-01-14,Connecticut,261.9,0,68.4,11.3,7,155.8,725
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,45459.42,2024-03-14,2024-05-12,Washington,276.3,0,84.2,8.1,7,155.9,827
